,I.1a,I.1b,I.2,II,III.a,III.b,IV.1a,IV.1b,IV.2
271,3.731651368007869,2.6567520374888503e-08,0.4264209704388634,2.220446049250313e-16,0.28227503562312567,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
272,3.669668133650129,0.0479133013848118,0.3597787125354227,0.017052266406295303,0.030442329804538315,0.2284131370858891,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
273,3.6729637630605474,2.220446049250313e-16,0.5526950788654266,0.008177423795282036,0.012208678038308603,1.1296514731639104e-07,2.220446049250313e-16,0.035504831738028625,2.220446049250313e-16
274,3.128651714016483,0.06914667654949239,0.6964288299022009,2.220446049250313e-16,0.12055650483513547,0.1785215339854045,0.22660549974314081,5.19887517309876e-10,2.220446049250313e-16
275,2.7463854513719292,2.220446049250313e-16,0.8006423246268131,2.220446049250313e-16,0.022350775607592105,0.612553164532495,8.16069381660994e-08,0.35985869831272893,2.220446049250313e-16
276,2.777426911277386,2.220446049250313e-16,0.5803985775947272,2.220446049250313e-16,0.13153929520944502,0.3047340190760052,0.10777430721994725,0.457734020022852,0.08247233068482053
277,2.369630149668256,2.220446049250313e-16,1.1086856849006754,2.220446049250313e-16,2.220446049250313e-16,0.4060112546870023,2.220446049250313e-16,0.6942371097728903,2.220446049250313e-16
278,1.9187532358204327,2.220446049250313e-16,1.265643023478643,2.220446049250313e-16,2.220446049250313e-16,0.30909100201444717,2.220446049250313e-16,1.0484832802677386,2.220446049250313e-16
279,1.4645943553713983,0.30967515904791815,1.6907927314336182,2.220446049250313e-16,2.220446049250313e-16,0.21079603947738426,0.31109893061012206,0.5216050520967093,2.220446049250313e-16
280,0.9313323384811646,0.6787649630673092,1.791564987691078,2.220446049250313e-16,2.220446049250313e-16,0.35771778535293286,0.4797891451417911,0.5651867573546417,2.220446049250313e-16
281,0.4937698360899851,0.41479084993940507,2.26387472928833,2.220446049250313e-16,2.220446049250313e-16,0.6278066464923601,0.19611023127522628,0.6211844593741859,2.220446049250313e-16
282,0.8447642704032312,0.3193167625868262,2.2916363529973847,2.220446049250313e-16,2.220446049250313e-16,0.47236925389148654,0.15538464891800835,0.6054881894218177,0.026060139086538342
283,0.4522023742711274,2.220446049250313e-16,2.903477404726102,2.220446049250313e-16,2.220446049250313e-16,0.8127009844103258,0.15347497239923585,0.5726196913985601,2.220446049250313e-16
284,0.19427186404170801,2.220446049250313e-16,1.5852275707189871,2.220446049250313e-16,0.6566802690600372,2.6293839080241264,0.0018800074132941525,0.06518043807598384,2.220446049250313e-16
285,0.7404564776690717,0.15194439843113994,0.6542301279094836,0.21796669344547587,1.0479938022551711,1.1087148271614606,0.008391196185995905,0.1933831365360491,2.220446049250313e-16
286,0.7053875758923188,0.3283034523620719,2.220446049250313e-16,0.012724308645143309,1.318568111809306,2.0448521433823843,2.220446049250313e-16,0.3112089211907861,2.220446049250313e-16
287,0.8341080699340685,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.0240628425961313,1.5775527284453839,2.220446049250313e-16,0.12892130766683482,2.220446049250313e-16
288,0.22804071049741884,0.08009361891201755,2.220446049250313e-16,2.220446049250313e-16,2.0269000020278507,1.9559545102118008,2.220446049250313e-16,0.2876587263737328,2.220446049250313e-16
289,0.035056021879285595,2.220446049250313e-16,0.017674456004686062,0.04409040506196799,1.5882457815839848,2.4751301483323784,2.220446049250313e-16,0.32034072499446864,0.047887021220526
290,0.04740930825935555,2.220446049250313e-16,2.220446049250313e-16,0.014312614481665618,1.1140465692957657,3.2690671641117666,2.220446049250313e-16,0.393980356483693,2.220446049250313e-16
291,2.220446049250313e-16,2.220446049250313e-16,0.03878008275596658,0.055724432135844645,1.0077026734053671,3.540249592766295,0.07927238815628888,0.3689493594587969,2.220446049250313e-16
292,2.220446049250313e-16,2.220446049250313e-16,0.07632125792445196,0.15816388570244677,0.8645119612367442,3.9873343333232074,2.220446049250313e-16,0.16772223678931036,2.220446049250313e-16
293,2.220446049250313e-16,2.220446049250313e-16,0.1039639250203463,0.2733390534806661,0.49625070718443093,4.159865873091268,2.220446049250313e-16,0.2004825574280062,2.220446049250313e-16
294,2.220446049250313e-16,2.220446049250313e-16,0.012928153346679338,0.1608187554706356,0.21097885862517737,4.904777866358752,2.220446049250313e-16,0.06462440015853477,2.220446049250313e-16
295,2.220446049250313e-16,2.220446049250313e-16,0.09115577387280832,0.3240564472958262,2.220446049250313e-16,4.786169863845084,2.220446049250313e-16,0.019212731584994654,2.220446049250313e-16
296,2.220446049250313e-16,2.220446049250313e-16,0.09041988877826937,1.219953713410419,2.220446049250313e-16,3.569381277531587,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
297,2.220446049250313e-16,2.220446049250313e-16,0.02315184431332532,2.4132231599566984,2.220446049250313e-16,1.8864226451924027,2.220446049250313e-16,0.1134509144259253,2.220446049250313e-16
298,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.9347802102413008,0.035090792414211563,0.8919489461514314,2.220446049250313e-16,0.061432005355024334,0.06290054822943951
299,0.018417512298010794,2.220446049250313e-16,0.04455181797996347,3.050772377413618,0.023470162192180864,0.5331288014800908,2.220446049250313e-16,0.00985998224086152,0.08271071809143823
300,2.220446049250313e-16,0.1554903775061836,0.07746735615132067,3.13052407123122,2.220446049250313e-16,0.400976271029467,2.220446049250313e-16,0.0204540389987075,2.220446049250313e-16
301,2.220446049250313e-16,0.10930502103484259,0.0724691219836375,3.0218829083977217,2.220446049250313e-16,0.2632769822539301,2.220446049250313e-16,0.23291388740706448,2.220446049250313e-16
302,2.220446049250313e-16,0.2627667504618451,0.057663977941411336,2.9673313789175655,0.008648198405547685,0.2927657920579647,0.03295996606659728,0.17060242228559735,2.220446049250313e-16
303,0.11574688430691864,0.5605743647361229,2.220446049250313e-16,2.8661139145803096,2.220446049250313e-16,2.220446049250313e-16,0.06904151093836243,0.23419609982165063,2.220446049250313e-16
304,0.22433363809648615,1.322595408786954,0.014493808227206327,2.1777879828320317,2.220446049250313e-16,2.220446049250313e-16,0.00020395606136933245,0.2395091144637945,2.220446049250313e-16
305,0.05618100982193121,1.4731175829245113,0.15458180559437534,2.072540286549691,2.220446049250313e-16,2.220446049250313e-16,7.516630349760985e-07,0.3947033156566507,2.220446049250313e-16
