,0,1,2,3,4,5,6,7,8
103,13,45,28,0,0,0,0,0,0
104,142,80,130,193,0,0,0,0,0
105,59,0,0,0,0,0,0,0,0
106,59,0,0,0,0,0,0,0,0
107,76,28,20,0,0,0,0,0,0
108,76,28,20,0,0,0,0,0,0
109,59,99,56,20,199,0,0,0,0
110,59,99,56,20,199,0,0,0,0
111,59,99,56,20,199,0,0,0,0
112,158,6,79,245,0,0,0,0,0
113,77,75,79,0,0,0,0,0,0
114,77,28,0,0,0,0,0,0,0
115,20,50,0,0,0,0,0,0,0
116,28,99,0,0,0,0,0,0,0
117,41,50,0,0,0,0,0,0,0
118,32,140,0,0,0,0,0,0,0
119,32,28,77,0,0,0,0,0,0
120,41,20,28,0,0,0,0,0,0
121,77,28,0,0,0,0,0,0,0
122,28,51,0,0,0,0,0,0,0
123,28,51,0,0,0,0,0,0,0
124,28,51,0,0,0,0,0,0,0
125,58,0,0,0,0,0,0,0,0
126,74,29,77,46,76,23,0,0,0
127,20,143,162,74,29,0,0,0,0
128,60,46,49,74,7,23,0,0,0
129,20,13,60,0,0,0,0,0,0
130,20,60,0,0,0,0,0,0,0
131,69,71,66,0,0,0,0,0,0
132,76,21,28,0,0,0,0,0,0
133,76,21,28,0,0,0,0,0,0
134,76,21,28,0,0,0,0,0,0
135,76,21,28,0,0,0,0,0,0
136,20,60,28,67,0,0,0,0,0
137,84,126,0,0,0,0,0,0,0
138,31,41,28,77,74,0,0,0,0
139,180,60,13,0,0,0,0,0,0
140,20,202,100,0,0,0,0,0,0
141,208,20,0,0,0,0,0,0,0
142,208,20,0,0,0,0,0,0,0
143,208,20,0,0,0,0,0,0,0
144,28,0,0,0,0,0,0,0,0
145,143,6,5,144,207,0,0,0,0
146,11,262,0,0,0,0,0,0,0
147,136,77,80,0,0,0,0,0,0
148,20,197,142,45,0,0,0,0,0
149,76,4,26,0,0,0,0,0,0
150,213,0,0,0,0,0,0,0,0
151,243,75,77,23,0,0,0,0,0
152,98,96,77,24,28,0,0,0,0
153,136,77,175,0,0,0,0,0,0
154,98,77,79,0,0,0,0,0,0
155,1,215,144,5,0,0,0,0,0
156,1,215,144,5,0,0,0,0,0
157,1,215,144,5,0,0,0,0,0
158,1,215,144,5,0,0,0,0,0
159,1,215,144,5,0,0,0,0,0
160,1,215,144,5,0,0,0,0,0
161,1,215,144,5,0,0,0,0,0
162,1,215,144,5,0,0,0,0,0
163,97,20,13,0,0,0,0,0,0
164,97,20,13,0,0,0,0,0,0
165,46,48,49,47,277,233,20,77,0
166,98,0,0,0,0,0,0,0,0
167,98,10,20,106,8,11,0,0,0
168,20,52,33,56,0,0,0,0,0
169,50,0,0,0,0,0,0,0,0
170,50,0,0,0,0,0,0,0,0
171,8,206,51,52,0,0,0,0,0
172,50,35,24,0,0,0,0,0,0
173,8,0,0,0,0,0,0,0,0
174,29,40,35,41,50,98,0,0,0
175,142,76,75,32,0,0,0,0,0
176,142,76,75,32,0,0,0,0,0
177,142,76,75,32,0,0,0,0,0
178,142,76,75,32,0,0,0,0,0
179,142,76,75,32,0,0,0,0,0
180,131,99,100,20,0,0,0,0,0
181,28,3,50,0,0,0,0,0,0
182,207,144,5,12,143,6,9,7,0
